year,team,strength_of_schedule
2014,Utah,7.5
2014,UTEP,-8.9
2014,UTSA,-8.1
2014,Vanderbilt,-2.8
2014,Virginia,3.6
2014,Virginia Tech,2.1
2014,Wake Forest,-3.7
2014,Washington,3.5
2014,Washington St.,4.9
2014,West Virginia,8.2
2014,Western Ky.,-6.8
2014,Western Mich.,-10.3
2014,Wisconsin,4.8
2015,Akron,-8.9
2015,Alabama,12.6
2015,Appalachian St.,-8.2
2015,Arizona,2.2
2015,Arizona St.,6.4
2015,Arkansas,9.9
2015,Arkansas St.,-7.3
2015,Army West Point,-11.9
2015,Auburn,7.7
2015,Ball St.,-8.4
2015,Baylor,7.9
2015,Boston College,1.8
2015,Bowling Green,-1.5
2015,Buffalo,-9.8
2015,BYU,3.3
2015,California,7.9
2015,Central Mich.,-4.2
2015,Cincinnati,-1.3
2015,Clemson,10.3
2015,Colorado,-0.1
2015,Duke,-0.2
2015,East Carolina,-2.1
2015,Eastern Mich.,-13.2
2015,FIU,-12.5
2015,Fla. Atlantic,-10.3
2015,Florida,7.5
2015,Florida St.,5.4
2015,Ga. Southern,-4.2
2015,Georgia,5.2
2015,Georgia St.,-12.2
2015,Georgia Tech,6.4
2015,Houston,-0.9
2015,Idaho,-12.4
2015,Illinois,1.6
2015,Indiana,0.9
2015,Iowa,2.7
2015,Iowa St.,4
2015,Kansas,-4.5
2015,Kansas St.,3.6
2015,Kent St.,-9.7
2015,Kentucky,0
2015,La.-Monroe,-13
2015,Louisiana,-1
2015,Louisiana Tech,-5.4
2015,Louisville,4.8
2015,LSU,10.1
2015,Marshall,-8.4
2015,Maryland,3.2
2015,Massachusetts,-10.1
2015,Memphis,2.4
2015,Miami FL,4.5
2015,Miami OH,-12.5
2015,Michigan,5.6
2015,Michigan St.,7
2015,Middle Tenn.,-4.6
2015,Minnesota,2.3
2015,Mississippi St.,8.6
2015,Missouri,3.8
2015,Navy,0.7
2015,NC State,3
2015,Nebraska,2.8
2015,New Mexico St.,-13.1
2015,North Carolina,5.8
2015,North Texas,-11.4
2015,Northern Ill.,-3.7
2015,Northwestern,3
2015,Notre Dame,9.3
2015,Ohio,-7.3
2015,Ohio St.,6.1
2015,Oklahoma,11.1
2015,Oklahoma St.,6.8
2015,Old Dominion,-15.3
2015,Ole Miss,-1
2015,Oregon,7.6
2015,Oregon St.,0.8
2015,Penn St.,2.4
2015,Pittsburgh,4.9
2015,Purdue,0.4
2015,Rice,-13.7
2015,Rutgers,-2.1
2015,SMU,-8.6
2015,South Alabama,-10.6
2015,South Carolina,3.8
2015,South Fla.,-0.2
2015,Southern California,9.9
2015,Southern Miss.,-3.8
2015,Stanford,8
2015,Syracuse,2.6
2015,TCU,7.8
2015,Temple,-0.7
2015,Tennessee,7.9
2015,Texas,6.3
2015,Texas A&M,7.1
2015,Texas St.,-14.9
2015,Texas Tech,5.6
2015,Toledo,-1.7
2015,Troy,-9.3
2015,Tulane,-10.3
2015,Tulsa,-4.7
2015,UAB,-1
2015,UCF,-9.3
2015,UCLA,6
2015,UConn,-3.9
2015,Utah,6.7
2015,UTEP,-15.6
2015,UTSA,-12.2
2015,Vanderbilt,4.5
2015,Virginia,4.6
2015,Virginia Tech,3.5
2015,Wake Forest,1.5
2015,Washington,7
2015,Washington St.,3.8
2015,West Virginia,6
2015,Western Ky.,-2.1
2015,Western Mich.,-0.9
2015,Wisconsin,2.9
2016,Akron,-10.2
2016,Alabama,14.2
2016,Appalachian St.,-4.6
2016,Arizona,0.7
2016,Arizona St.,1.4
2016,Arkansas,5.7
2016,Arkansas St.,-8.7
2016,Army West Point,-7.5
2016,Auburn,9.6
2016,Ball St.,-10.7
2016,Baylor,2.5
2016,Boston College,-1.9
2016,Bowling Green,-11.2
2016,Buffalo,-12.9
2016,BYU,-0.5
2016,California,4.1
2016,Central Mich.,-7
2016,Charlotte,-14.2
2016,Cincinnati,-4.2
2016,Clemson,13.7
2016,Colorado,7.3
2016,Duke,3.7
2016,East Carolina,-3.3
2016,Eastern Mich.,-8.9
2016,FIU,-11.5
2016,Fla. Atlantic,-14.3
2016,Florida,6.8
2016,Florida St.,10.7
2016,Ga. Southern,-6.6
2016,Georgia,3
2016,Georgia St.,-11.5
2016,Georgia Tech,3.5
2016,Houston,1.5
2016,Idaho,-10.7
2016,Illinois,-1.7
2016,Indiana,-0.1
2016,Iowa,2.7
2016,Iowa St.,1.7
2016,Kansas,-2.4
2016,Kansas St.,5.7
2016,Kent St.,-11.2
2016,Kentucky,0.6
2016,La.-Monroe,-13.9
2016,Louisiana,-1
2016,Louisiana Tech,-4.3
2016,Louisville,7.1
2016,LSU,10.7
2016,Marshall,-12
2016,Maryland,-1.5
2016,Massachusetts,-9.4
2016,Memphis,0.1
2016,Miami FL,6.5
2016,Miami OH,-10.1
2016,Michigan,10.7
2016,Michigan St.,4.1
2016,Middle Tenn.,-10.2
2016,Minnesota,1.1
2016,Mississippi St.,1.6
2016,Missouri,0.6
2016,Navy,-0.2
2016,NC State,4.2
2016,Nebraska,2.3
2016,New Mexico St.,-10.8
2016,North Carolina,4.3
2016,North Texas,-10.5
2016,Northern Ill.,-6.2
2016,Northwestern,3.6
2016,Notre Dame,4.5
2016,Ohio,-9.7
2016,Ohio St.,13.9
2016,Oklahoma,8.6
2016,Oklahoma St.,5
2016,Old Dominion,-11
2016,Ole Miss,-1
2016,Oregon,4.2
2016,Oregon St.,2.6
2016,Penn St.,7.8
2016,Pittsburgh,5.8
2016,Purdue,-4.2
2016,Rice,-13.4
2016,Rutgers,-3.8
2016,SMU,-1.7
2016,South Alabama,-11.5
2016,South Carolina,0.1
2016,South Fla.,-1.2
2016,Southern California,9.3
2016,Southern Miss.,-9.9
2016,Stanford,6.7
2016,Syracuse,2.2
2016,TCU,2.8
2016,Temple,-1.4
2016,Tennessee,5
2016,Texas,3.6
2016,Texas A&M,6.1
2016,Texas St.,-16
2016,Texas Tech,2.9
2016,Toledo,-5
